CO_CURSO,VARIAVEL,RESPOSTA,n,pct_total
86396,QE_I01,A,12,0.35294117647058826
86396,QE_I01,B,6,0.17647058823529413
86396,QE_I01,E,3,0.08823529411764706
86396,QE_I01,,13,0.38235294117647056
88788,QE_I01,A,13,0.38235294117647056
88788,QE_I01,B,13,0.38235294117647056
88788,QE_I01,C,2,0.058823529411764705
88788,QE_I01,D,1,0.029411764705882353
88788,QE_I01,,5,0.14705882352941177
92391,QE_I01,A,8,0.6666666666666666
92391,QE_I01,B,3,0.25
92391,QE_I01,,1,0.08333333333333333
94692,QE_I01,A,1,0.2
94692,QE_I01,C,2,0.4
94692,QE_I01,,2,0.4
95055,QE_I01,A,12,0.7058823529411765
95055,QE_I01,B,5,0.29411764705882354
95221,QE_I01,A,3,0.42857142857142855
95221,QE_I01,B,3,0.42857142857142855
95221,QE_I01,,1,0.14285714285714285
96158,QE_I01,A,34,0.7727272727272727
96158,QE_I01,B,4,0.09090909090909091
96158,QE_I01,,6,0.13636363636363635
96913,QE_I01,A,15,0.8823529411764706
96913,QE_I01,B,1,0.058823529411764705
96913,QE_I01,,1,0.058823529411764705
96955,QE_I01,A,3,1.0
99045,QE_I01,A,27,0.574468085106383
99045,QE_I01,B,14,0.2978723404255319
99045,QE_I01,,6,0.1276595744680851
99503,QE_I01,A,11,0.7857142857142857
99503,QE_I01,B,2,0.14285714285714285
99503,QE_I01,,1,0.07142857142857142
99806,QE_I01,A,35,0.813953488372093
99806,QE_I01,B,8,0.18604651162790697
99898,QE_I01,A,2,0.2222222222222222
99898,QE_I01,B,6,0.6666666666666666
99898,QE_I01,,1,0.1111111111111111
99952,QE_I01,A,466,0.3896321070234114
99952,QE_I01,B,439,0.36705685618729095
99952,QE_I01,C,55,0.04598662207357859
99952,QE_I01,D,4,0.0033444816053511705
99952,QE_I01,E,16,0.013377926421404682
99952,QE_I01,,216,0.1806020066889632
100309,QE_I01,A,41,0.3761467889908257
100309,QE_I01,B,27,0.24770642201834864
100309,QE_I01,C,6,0.05504587155963303
100309,QE_I01,D,1,0.009174311926605505
100309,QE_I01,E,1,0.009174311926605505
100309,QE_I01,,33,0.30275229357798167
100369,QE_I01,A,4,0.5
100369,QE_I01,B,3,0.375
100369,QE_I01,,1,0.125
100373,QE_I01,A,13,0.6190476190476191
100373,QE_I01,B,3,0.14285714285714285
100373,QE_I01,C,1,0.047619047619047616
100373,QE_I01,,4,0.19047619047619047
100412,QE_I01,A,12,0.9230769230769231
100412,QE_I01,,1,0.07692307692307693
100620,QE_I01,A,6,0.46153846153846156
100620,QE_I01,B,4,0.3076923076923077
100620,QE_I01,,3,0.23076923076923078
100690,QE_I01,A,40,0.7843137254901961
100690,QE_I01,B,8,0.1568627450980392
100690,QE_I01,E,2,0.0392156862745098
100690,QE_I01,,1,0.0196078431372549
100724,QE_I01,A,14,0.56
100724,QE_I01,B,5,0.2
100724,QE_I01,,6,0.24
100775,QE_I01,A,4,0.5
100775,QE_I01,B,3,0.375
100775,QE_I01,C,1,0.125
100808,QE_I01,A,8,0.8
100808,QE_I01,B,2,0.2
100916,QE_I01,A,9,0.9
100916,QE_I01,B,1,0.1
101556,QE_I01,A,5,0.625
101556,QE_I01,B,2,0.25
101556,QE_I01,,1,0.125
102152,QE_I01,A,20,0.7142857142857143
102152,QE_I01,B,5,0.17857142857142858
102152,QE_I01,,3,0.10714285714285714
102430,QE_I01,A,21,0.7241379310344828
102430,QE_I01,B,7,0.2413793103448276
102430,QE_I01,E,1,0.034482758620689655
102576,QE_I01,A,63,0.8873239436619719
102576,QE_I01,B,6,0.08450704225352113
102576,QE_I01,C,1,0.014084507042253521
102576,QE_I01,E,1,0.014084507042253521
102588,QE_I01,A,11,0.5789473684210527
102588,QE_I01,B,2,0.10526315789473684
102588,QE_I01,,6,0.3157894736842105
102944,QE_I01,A,6,0.8571428571428571
102944,QE_I01,C,1,0.14285714285714285
103381,QE_I01,A,23,0.7419354838709677
103381,QE_I01,B,6,0.1935483870967742
103381,QE_I01,,2,0.06451612903225806
103572,QE_I01,A,17,0.85
103572,QE_I01,B,3,0.15
104282,QE_I01,A,5,0.8333333333333334
104282,QE_I01,B,1,0.16666666666666666
104814,QE_I01,A,13,0.6190476190476191
104814,QE_I01,B,4,0.19047619047619047
104814,QE_I01,,4,0.19047619047619047
106404,QE_I01,A,10,0.5
106404,QE_I01,B,4,0.2
106404,QE_I01,C,3,0.15
106404,QE_I01,,3,0.15
107520,QE_I01,A,34,0.6666666666666666
107520,QE_I01,B,15,0.29411764705882354
107520,QE_I01,,2,0.0392156862745098
108012,QE_I01,A,1,0.5
108012,QE_I01,,1,0.5
108730,QE_I01,A,11,0.7857142857142857
108730,QE_I01,B,3,0.21428571428571427
108734,QE_I01,A,14,0.35
108734,QE_I01,B,19,0.475
108734,QE_I01,C,2,0.05
108734,QE_I01,,5,0.125
109356,QE_I01,A,5,0.18518518518518517
109356,QE_I01,B,4,0.14814814814814814
109356,QE_I01,,18,0.6666666666666666
109768,QE_I01,A,17,0.9444444444444444
109768,QE_I01,B,1,0.05555555555555555
109948,QE_I01,A,18,0.3829787234042553
109948,QE_I01,B,16,0.3404255319148936
109948,QE_I01,C,1,0.02127659574468085
109948,QE_I01,,12,0.2553191489361702
111506,QE_I01,A,1,0.16666666666666666
111506,QE_I01,B,3,0.5
111506,QE_I01,C,1,0.16666666666666666
111506,QE_I01,,1,0.16666666666666666
113030,QE_I01,A,14,0.7777777777777778
113030,QE_I01,B,4,0.2222222222222222
113295,QE_I01,A,13,0.9285714285714286
113295,QE_I01,B,1,0.07142857142857142
113490,QE_I01,A,39,0.7647058823529411
113490,QE_I01,B,7,0.13725490196078433
113490,QE_I01,D,1,0.0196078431372549
113490,QE_I01,,4,0.0784313725490196
113589,QE_I01,A,5,0.7142857142857143
113589,QE_I01,B,2,0.2857142857142857
113907,QE_I01,A,23,0.2839506172839506
113907,QE_I01,B,37,0.4567901234567901
113907,QE_I01,C,5,0.06172839506172839
113907,QE_I01,E,1,0.012345679012345678
113907,QE_I01,,15,0.18518518518518517
113953,QE_I01,A,24,0.8
113953,QE_I01,B,6,0.2
114388,QE_I01,A,2,0.4
114388,QE_I01,B,1,0.2
114388,QE_I01,,2,0.4
114556,QE_I01,A,13,1.0
114853,QE_I01,A,78,0.5777777777777777
114853,QE_I01,B,13,0.0962962962962963
114853,QE_I01,,44,0.32592592592592595
115086,QE_I01,A,8,0.7272727272727273
115086,QE_I01,B,1,0.09090909090909091
115086,QE_I01,,2,0.18181818181818182
116144,QE_I01,A,10,0.7692307692307693
116144,QE_I01,B,3,0.23076923076923078
116730,QE_I01,A,4,0.8
116730,QE_I01,B,1,0.2
116820,QE_I01,A,3,1.0
116856,QE_I01,A,8,0.7272727272727273
116856,QE_I01,B,2,0.18181818181818182
116856,QE_I01,,1,0.09090909090909091
116882,QE_I01,A,13,0.8125
116882,QE_I01,B,2,0.125
116882,QE_I01,C,1,0.0625
117196,QE_I01,A,2,1.0
118100,QE_I01,A,50,0.8620689655172413
118100,QE_I01,B,8,0.13793103448275862
118564,QE_I01,A,3,0.75
118564,QE_I01,B,1,0.25
120389,QE_I01,A,8,0.6153846153846154
120389,QE_I01,B,3,0.23076923076923078
120389,QE_I01,,2,0.15384615384615385
120767,QE_I01,A,2,1.0
121013,QE_I01,A,18,0.6923076923076923
121013,QE_I01,B,3,0.11538461538461539
121013,QE_I01,C,1,0.038461538461538464
121013,QE_I01,E,1,0.038461538461538464
121013,QE_I01,,3,0.11538461538461539
121792,QE_I01,A,5,0.8333333333333334
121792,QE_I01,B,1,0.16666666666666666
122122,QE_I01,A,23,0.7931034482758621
122122,QE_I01,B,4,0.13793103448275862
122122,QE_I01,D,1,0.034482758620689655
122122,QE_I01,,1,0.034482758620689655
122358,QE_I01,,1,1.0
122746,QE_I01,A,16,0.8421052631578947
122746,QE_I01,B,2,0.10526315789473684
122746,QE_I01,,1,0.05263157894736842
123356,QE_I01,A,2,0.06451612903225806
123356,QE_I01,B,10,0.3225806451612903
123356,QE_I01,C,1,0.03225806451612903
123356,QE_I01,,18,0.5806451612903226
123472,QE_I01,A,32,0.41025641025641024
123472,QE_I01,B,23,0.2948717948717949
123472,QE_I01,E,1,0.01282051282051282
123472,QE_I01,,22,0.28205128205128205
123494,QE_I01,A,2,1.0
123519,QE_I01,A,9,0.6923076923076923
123519,QE_I01,B,4,0.3076923076923077
123787,QE_I01,B,2,0.6666666666666666
123787,QE_I01,,1,0.3333333333333333
300520,QE_I01,A,18,0.5806451612903226
300520,QE_I01,B,3,0.0967741935483871
300520,QE_I01,C,1,0.03225806451612903
300520,QE_I01,,9,0.2903225806451613
312333,QE_I01,A,31,0.7209302325581395
312333,QE_I01,B,7,0.16279069767441862
312333,QE_I01,C,1,0.023255813953488372
312333,QE_I01,E,1,0.023255813953488372
312333,QE_I01,,3,0.06976744186046512
1101770,QE_I01,A,33,0.717391304347826
